"sample_id","habitat","insertsHQ"
"SAMEA2142846","human gut",12263771
"SAMEA2142848","human gut",12952185
"SAMEA2142929","cat gut",23856812
"SAMEA2142970","human gut",31520983
"SAMEA2143074","human gut",36079432
"SAMEA2143176","human gut",2628991
"SAMEA2143295","human gut",29860
"SAMEA2143394","cat gut",26623127
"SAMEA2143633","human gut",34425077
"SAMEA2143745","human gut",1430972
"SAMEA2143833","cat gut",38759008
"SAMEA2143863","human gut",26567055
"SAMEA2143980","human gut",10592251
"SAMEA2144223","human gut",33992381
"SAMEA2144282","cat gut",48743099
"SAMEA2144299","human gut",4208565
"SAMEA2144304","human gut",29035036
"SAMEA2144396","human gut",27082775
"SAMEA2144525","human gut",12760618
"SAMEA2144555","human gut",31689222
"SAMEA2144578","human gut",13931157
"SAMEA2144588","human gut",8719290
"SAMEA2144623","human gut",19718950
"SAMEA2144640","human gut",70988
"SAMEA2144745","cat gut",36070014
"SAMEA2144980","human gut",30463346
"SAMEA2145068","human gut",7485305
"SAMEA2145301","human gut",19610639
"SAMEA2145365","human gut",32775492
"SAMEA2145582","human gut",10171657
"SAMEA2145648","human gut",12977258
"SAMEA2145758","human gut",12230521
"SAMEA2145815","human gut",29922468
"SAMEA2145937","cat gut",46479942
"SAMEA2146009","human gut",32879361
"SAMEA2146107","human gut",23841552
"SAMEA2146320","human gut",13240420
"SAMEA2146321","human gut",179149
"SAMEA2146472","human gut",3499226
"SAMEA2146477","human gut",29066237
"SAMEA2146552","human gut",38503316
"SAMEA2146600","human gut",28189205
"SAMEA2146682","human gut",6902751
"SAMEA2146731","human gut",9276048
"SAMEA2146778","human gut",516707
"SAMEA2146908","human gut",11742597
"SAMEA2147022","human gut",8486375
"SAMEA2147036","human gut",31595643
"SAMEA2147070","human gut",16061217
"SAMEA2147091","cat gut",26205859
"SAMEA2147092","human gut",13153450
"SAMEA2147114","human gut",17863387
"SAMEA2147148","cat gut",39727043
"SAMEA2147216","human gut",7587648
"SAMEA2147265","cat gut",45468428
"SAMEA2147326","human gut",32875497
"SAMEA2147384","human gut",8544439
"SAMEA2147587","human gut",19140196
"SAMEA2147589","human gut",15959672
"SAMEA2147831","cat gut",45266257
"SAMEA2147983","human gut",55092
"SAMEA2147991","human gut",18391725
"SAMEA2148024","human gut",17448
"SAMEA2148041","cat gut",37934755
"SAMEA2148063","human gut",37405
"SAMEA2148094","human gut",39290748
"SAMEA2148105","human gut",15617401
"SAMEA2148265","human gut",10880117
"SAMEA2148374","human gut",566296
"SAMEA2148412","human gut",29882866
"SAMEA2148549","human gut",11001660
"SAMEA2148558","human gut",185001
"SAMEA2148642","cat gut",33148667
"SAMEA2148733","human gut",304709
"SAMEA2148755","human gut",34342311
"SAMEA2148824","cat gut",31016164
"SAMEA2148905","human gut",34316
"SAMEA2149030","human gut",252299
"SAMEA2149068","human gut",37530660
"SAMEA2149228","human gut",27572099
"SAMEA2149241","human gut",35480183
"SAMEA2149271","human gut",28180299
"SAMEA2149318","human gut",39023
"SAMEA2149533","cat gut",30188217
"SAMEA2149539","human gut",10181633
"SAMEA2149557","human gut",3906159
"SAMEA2149568","human gut",129122
"SAMEA2149603","human gut",5565049
"SAMEA2149627","human gut",90868
"SAMEA2149636","human gut",37969433
"SAMEA2149769","cat gut",32004375
"SAMEA2149794","human gut",33770191
"SAMEA2149983","human gut",33462127
"SAMEA2150168","human gut",39787883
"SAMEA2150187","human gut",121202
"SAMEA2150234","human gut",31691383
"SAMEA2150283","human gut",28026
"SAMEA2150447","human gut",11158696
"SAMEA2150563","human gut",25600878
"SAMEA2150726","human gut",31545495
"SAMEA2150814","human gut",52435
