"","ARO_Term_ID","Term_Label","Parent_ID","Parent_Label","gene_class","abbreviation"
"1408","ARO:3003796","Acinetobacter baumannii ampC beta-lactamase","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1409","ARO:3002492","LRA-18","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1410","ARO:3001838","ACT-17","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1411","ARO:3000960","TEM-93","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1412","ARO:3002496","OXA-418","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1413","ARO:3002429","OKP-A-12","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1414","ARO:3002074","CMY-61","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1415","ARO:3007004","VHW-1","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1416","ARO:3002852","arr-7","ARO:3000576","rifampin inactivation enzyme","rifampin inactivation enzyme","RIF-inact. enz."
"1417","ARO:3002546","AAC(6')-Ib","ARO:3000345","AAC(6')","aac","aac"
"1418","ARO:3007919","ACT-154","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1419","ARO:3007003","VHH-1","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1420","ARO:3007273","MCR-3.19","ARO:3003580","gene altering cell wall charge","cell wall charge","cell wall charge"
"1421","ARO:3004715","vga(E) Staphylococcus cohnii","ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF","ABC-F"
"1422","ARO:3009012","PEN-A33","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1423","ARO:3001878","CTX-M-15","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1424","ARO:3009007","PEN-A29","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1425","ARO:3001478","OXA-193","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1426","ARO:3002736","QnrB21","ARO:3000419","quinolone resistance protein (qnr)","qnr","qnr"
"1427","ARO:3006390","ADC-221","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1428","ARO:3008784","OXY-10-1","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1429","ARO:3008226","IND-18","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1430","ARO:3004766","CGA-1","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1431","ARO:3007648","PSZ-1","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1432","ARO:3002572","AAC(6')-Iad","ARO:3000345","AAC(6')","aac","aac"
"1433","ARO:3004735","ARL-2","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1434","ARO:3002871","tet(37)","ARO:3000036","tetracycline inactivation enzyme","tet enzyme","tet enzyme"
"1435","ARO:3005859","OXA-638","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1436","ARO:3001458","OXA-153","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1437","ARO:3000904","TEM-34","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1438","ARO:3004596","erm(46)","ARO:3000560","Erm 23S ribosomal RNA methyltransferase","erm","erm"
"1439","ARO:3006988","SGM-2","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1440","ARO:3004730","tva(A)","ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF","ABC-F"
"1441","ARO:3008081","BMHC-1","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1442","ARO:3008228","KHM-2","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1443","ARO:3004645","dfrI","ARO:3003425","antibiotic resistant dihydrofolate reductase","dfr","dfr"
"1444","ARO:3008095","CMH-20","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1445","ARO:3008997","PEN-A1","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1446","ARO:3002520","OCH-7","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1447","ARO:3004826","LAP-2","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1448","ARO:3004747","BAT-1","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1449","ARO:3004647","AQU-2","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1450","ARO:3001748","OXA-293","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1451","ARO:3003894","Rm3","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1452","ARO:3005840","OXA-619","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1453","ARO:3008734","OXA-957","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1454","ARO:3005540","BlaB-27","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1455","ARO:3005116","AAC(6')-Ib-cr6","ARO:3000345","AAC(6')","aac","aac"
"1456","ARO:3009056","SHV-237","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1457","ARO:3002829","vgaA","ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF","ABC-F"
"1458","ARO:3005774","OXA-550","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1459","ARO:3006348","ADC-176","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1460","ARO:3002577","AAC(6')-Ib4","ARO:3000345","AAC(6')","aac","aac"
"1461","ARO:3001457","OXA-152","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1462","ARO:3003749","salA","ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF","ABC-F"
"1463","ARO:3002599","AAC(6')-30/AAC(6')-Ib' bifunctional protein","ARO:3007419","aminoglycoside bifunctional resistance protein","bifunctional aminoglycoside","bifunctional aminoglycoside"
"1464","ARO:3005797","OXA-576","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1465","ARO:3007002","TTU-1","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1466","ARO:3005115","AAC(6')-Ib-cr5","ARO:3000345","AAC(6')","aac","aac"
"1467","ARO:3005772","OXA-548","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1468","ARO:3001722","OXA-266","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1469","ARO:3003649","CTX-M-165","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1470","ARO:3005351","DfrA39","ARO:3003425","antibiotic resistant dihydrofolate reductase","dfr","dfr"
"1471","ARO:3008079","B3SU2-1","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1472","ARO:3006949","MAL-1","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1473","ARO:3004780","DES-1","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1474","ARO:3006888","GIL-1","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1475","ARO:3008814","OXY-6-5","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1476","ARO:3002790","QnrS1","ARO:3000419","quinolone resistance protein (qnr)","qnr","qnr"
"1477","ARO:3002483","LRA-5","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1478","ARO:3002411","OXY-5-1","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1479","ARO:3001522","OXA-334","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
