sample_id	original_name	habitat	GCfrac	basepairsHQ	basepairsRaw	insertsHQ	insertsRaw	nr_orfs	latitude	longitude	income_group	country
SAMN06172442	ExDogA57	dog gut	0.43253085891218	10051534509	12383334432	45146912	49140216	318679	38.627	-90.1994	High income	United States of America
SAMN06172459	ExDogA58	dog gut	0.4404351485239938	11801416724	14341392072	52592259	56910286	298695	38.627	-90.1994	High income	United States of America
SAMN06172402	ExDogA59	dog gut	0.4232636885546983	8964177120	10945695348	40178379	43435299	433749	38.627	-90.1994	High income	United States of America
SAMN06172436	ExDogA60	dog gut	0.4310696402016729	9406900529	11996514180	43533576	47605215	297192	38.627	-90.1994	High income	United States of America
SAMN06172412	ExDogA61	dog gut	0.44152194045168536	11474037882	13741995204	50851974	54531727	264975	38.627	-90.1994	High income	United States of America
SAMN06172465	ExDogA62	dog gut	0.4427861949701661	8964280538	11827240236	41853534	46933493	303992	38.627	-90.1994	High income	United States of America
SAMN06172467	ExDogA63	dog gut	0.4300035176030645	9477698794	11783074716	42910117	46758233	321247	38.627	-90.1994	High income	United States of America
SAMN06172493	ExDogA64	dog gut	0.44123609973564426	9090799203	11295488484	41097948	44823367	323354	38.627	-90.1994	High income	United States of America
SAMEA1906415	SAMEA1906415	human gut	0.4256025700074177	1030030151	1885347204	7093178	9333402	157079	57.70887	11.97456	High income	Sweden
SAMEA1906416	SAMEA1906416	human gut	0.4422944144715245	1326872461	2452610674	8848750	12141637	163917	57.70887	11.97456	High income	Sweden
SAMEA1906417	SAMEA1906417	human gut	0.43576171009645376	1452782948	2297022396	9234914	11371398	159773	57.70887	11.97456	High income	Sweden
SAMEA1906418	SAMEA1906418	human gut	0.4454563831059493	1025312219	1880622222	6916016	9310011	150638	57.70887	11.97456	High income	Sweden
SAMEA1906419	SAMEA1906419	human gut	0.4197971255873956	1808450838	3043333010	11549999	15066005	159591	57.70887	11.97456	High income	Sweden
